"Statistic","Month","Age Group","Sex","Social Welfare Scheme","UNIT","VALUE"
"Persons on Live Register","1996M11","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1996M11","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1996M11","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1996M11","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1996M11","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1996M11","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1996M11","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1996M11","All ages","Both sexes","All classes","Number","263305"
"Persons on Live Register","1996M11","All ages","Both sexes","Jobseekers allowance applications","Number","186764"
"Persons on Live Register","1996M11","All ages","Both sexes","Jobseekers benefit claims","Number","58758"
"Persons on Live Register","1996M11","All ages","Both sexes","Other registrants","Number","17783"
"Persons on Live Register","1996M11","All ages","Male","All classes","Number","164796"
"Persons on Live Register","1996M11","All ages","Male","Jobseekers allowance applications","Number","133992"
"Persons on Live Register","1996M11","All ages","Male","Jobseekers benefit claims","Number","27172"
"Persons on Live Register","1996M11","All ages","Male","Other registrants","Number","3632"
"Persons on Live Register","1996M11","All ages","Female","All classes","Number","98509"
"Persons on Live Register","1996M11","All ages","Female","Jobseekers allowance applications","Number","52772"
"Persons on Live Register","1996M11","All ages","Female","Jobseekers benefit claims","Number","31586"
"Persons on Live Register","1996M11","All ages","Female","Other registrants","Number","14151"
"Persons on Live Register","1996M12","Under 25 years","Both sexes","All classes","Number","64096"
"Persons on Live Register","1996M12","Under 25 years","Both sexes","Jobseekers allowance applications","Number","51528"
"Persons on Live Register","1996M12","Under 25 years","Both sexes","Jobseekers benefit claims","Number","11939"
"Persons on Live Register","1996M12","Under 25 years","Both sexes","Other registrants","Number","629"
"Persons on Live Register","1996M12","Under 25 years","Male","All classes","Number","36786"
"Persons on Live Register","1996M12","Under 25 years","Male","Jobseekers allowance applications","Number","30122"
"Persons on Live Register","1996M12","Under 25 years","Male","Jobseekers benefit claims","Number","6517"
"Persons on Live Register","1996M12","Under 25 years","Male","Other registrants","Number","147"
"Persons on Live Register","1996M12","Under 25 years","Female","All classes","Number","21888"
"Persons on Live Register","1996M12","Under 25 years","Female","Jobseekers allowance applications","Number","21406"
"Persons on Live Register","1996M12","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1996M12","Under 25 years","Female","Other registrants","Number","482"
"Persons on Live Register","1996M12","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1996M12","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1996M12","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1996M12","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1996M12","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1996M12","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1996M12","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1996M12","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1996M12","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1996M12","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1996M12","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1996M12","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1996M12","All ages","Both sexes","All classes","Number","270156"
"Persons on Live Register","1996M12","All ages","Both sexes","Jobseekers allowance applications","Number","186916"
"Persons on Live Register","1996M12","All ages","Both sexes","Jobseekers benefit claims","Number","65041"
"Persons on Live Register","1996M12","All ages","Both sexes","Other registrants","Number","18199"
"Persons on Live Register","1996M12","All ages","Male","All classes","Number","167982"
"Persons on Live Register","1996M12","All ages","Male","Jobseekers allowance applications","Number","134043"
"Persons on Live Register","1996M12","All ages","Male","Jobseekers benefit claims","Number","30244"
"Persons on Live Register","1996M12","All ages","Male","Other registrants","Number","3695"
"Persons on Live Register","1996M12","All ages","Female","All classes","Number","102174"
"Persons on Live Register","1996M12","All ages","Female","Jobseekers allowance applications","Number","52873"
"Persons on Live Register","1996M12","All ages","Female","Jobseekers benefit claims","Number","34797"
"Persons on Live Register","1996M12","All ages","Female","Other registrants","Number","14504"
"Persons on Live Register","1997M01","Under 25 years","Both sexes","All classes","Number","64613"
"Persons on Live Register","1997M01","Under 25 years","Both sexes","Jobseekers allowance applications","Number","51033"
"Persons on Live Register","1997M01","Under 25 years","Both sexes","Jobseekers benefit claims","Number","12985"
"Persons on Live Register","1997M01","Under 25 years","Both sexes","Other registrants","Number","595"
"Persons on Live Register","1997M01","Under 25 years","Male","All classes","Number","37020"
"Persons on Live Register","1997M01","Under 25 years","Male","Jobseekers allowance applications","Number","29769"
"Persons on Live Register","1997M01","Under 25 years","Male","Jobseekers benefit claims","Number","7118"
"Persons on Live Register","1997M01","Under 25 years","Male","Other registrants","Number","133"
"Persons on Live Register","1997M01","Under 25 years","Female","All classes","Number","21864"
"Persons on Live Register","1997M01","Under 25 years","Female","Jobseekers allowance applications","Number","21402"
"Persons on Live Register","1997M01","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M01","Under 25 years","Female","Other registrants","Number","462"
"Persons on Live Register","1997M01","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1997M01","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M01","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M01","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1997M01","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1997M01","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M01","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M01","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1997M01","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1997M01","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M01","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M01","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1997M01","All ages","Both sexes","All classes","Number","268890"
"Persons on Live Register","1997M01","All ages","Both sexes","Jobseekers allowance applications","Number","185183"
"Persons on Live Register","1997M01","All ages","Both sexes","Jobseekers benefit claims","Number","66103"
"Persons on Live Register","1997M01","All ages","Both sexes","Other registrants","Number","17604"
"Persons on Live Register","1997M01","All ages","Male","All classes","Number","167458"
"Persons on Live Register","1997M01","All ages","Male","Jobseekers allowance applications","Number","132596"
"Persons on Live Register","1997M01","All ages","Male","Jobseekers benefit claims","Number","31186"
"Persons on Live Register","1997M01","All ages","Male","Other registrants","Number","3676"
"Persons on Live Register","1997M01","All ages","Female","All classes","Number","101432"
"Persons on Live Register","1997M01","All ages","Female","Jobseekers allowance applications","Number","52587"
"Persons on Live Register","1997M01","All ages","Female","Jobseekers benefit claims","Number","34917"
"Persons on Live Register","1997M01","All ages","Female","Other registrants","Number","13928"
"Persons on Live Register","1997M02","Under 25 years","Both sexes","All classes","Number","63161"
"Persons on Live Register","1997M02","Under 25 years","Both sexes","Jobseekers allowance applications","Number","49613"
"Persons on Live Register","1997M02","Under 25 years","Both sexes","Jobseekers benefit claims","Number","12950"
"Persons on Live Register","1997M02","Under 25 years","Both sexes","Other registrants","Number","598"
"Persons on Live Register","1997M02","Under 25 years","Male","All classes","Number","36266"
"Persons on Live Register","1997M02","Under 25 years","Male","Jobseekers allowance applications","Number","28986"
"Persons on Live Register","1997M02","Under 25 years","Male","Jobseekers benefit claims","Number","7153"
"Persons on Live Register","1997M02","Under 25 years","Male","Other registrants","Number","127"
"Persons on Live Register","1997M02","Under 25 years","Female","All classes","Number","21098"
"Persons on Live Register","1997M02","Under 25 years","Female","Jobseekers allowance applications","Number","20627"
"Persons on Live Register","1997M02","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M02","Under 25 years","Female","Other registrants","Number","471"
"Persons on Live Register","1997M02","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1997M02","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M02","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M02","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1997M02","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1997M02","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M02","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M02","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1997M02","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1997M02","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M02","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M02","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1997M02","All ages","Both sexes","All classes","Number","264310"
"Persons on Live Register","1997M02","All ages","Both sexes","Jobseekers allowance applications","Number","181362"
"Persons on Live Register","1997M02","All ages","Both sexes","Jobseekers benefit claims","Number","65486"
"Persons on Live Register","1997M02","All ages","Both sexes","Other registrants","Number","17462"
"Persons on Live Register","1997M02","All ages","Male","All classes","Number","164491"
"Persons on Live Register","1997M02","All ages","Male","Jobseekers allowance applications","Number","129911"
"Persons on Live Register","1997M02","All ages","Male","Jobseekers benefit claims","Number","30847"
"Persons on Live Register","1997M02","All ages","Male","Other registrants","Number","3733"
"Persons on Live Register","1997M02","All ages","Female","All classes","Number","99819"
"Persons on Live Register","1997M02","All ages","Female","Jobseekers allowance applications","Number","51451"
"Persons on Live Register","1997M02","All ages","Female","Jobseekers benefit claims","Number","34639"
"Persons on Live Register","1997M02","All ages","Female","Other registrants","Number","13729"
"Persons on Live Register","1997M03","Under 25 years","Both sexes","All classes","Number","61264"
"Persons on Live Register","1997M03","Under 25 years","Both sexes","Jobseekers allowance applications","Number","48227"
"Persons on Live Register","1997M03","Under 25 years","Both sexes","Jobseekers benefit claims","Number","12466"
"Persons on Live Register","1997M03","Under 25 years","Both sexes","Other registrants","Number","571"
"Persons on Live Register","1997M03","Under 25 years","Male","All classes","Number","35141"
"Persons on Live Register","1997M03","Under 25 years","Male","Jobseekers allowance applications","Number","28107"
"Persons on Live Register","1997M03","Under 25 years","Male","Jobseekers benefit claims","Number","6922"
"Persons on Live Register","1997M03","Under 25 years","Male","Other registrants","Number","112"
"Persons on Live Register","1997M03","Under 25 years","Female","All classes","Number","20579"
"Persons on Live Register","1997M03","Under 25 years","Female","Jobseekers allowance applications","Number","20120"
"Persons on Live Register","1997M03","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M03","Under 25 years","Female","Other registrants","Number","459"
"Persons on Live Register","1997M03","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1997M03","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M03","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M03","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1997M03","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1997M03","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M03","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M03","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1997M03","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1997M03","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M03","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M03","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1997M03","All ages","Both sexes","All classes","Number","262414"
"Persons on Live Register","1997M03","All ages","Both sexes","Jobseekers allowance applications","Number","178798"
"Persons on Live Register","1997M03","All ages","Both sexes","Jobseekers benefit claims","Number","66222"
"Persons on Live Register","1997M03","All ages","Both sexes","Other registrants","Number","17394"
"Persons on Live Register","1997M03","All ages","Male","All classes","Number","162116"
"Persons on Live Register","1997M03","All ages","Male","Jobseekers allowance applications","Number","128073"
"Persons on Live Register","1997M03","All ages","Male","Jobseekers benefit claims","Number","30385"
"Persons on Live Register","1997M03","All ages","Male","Other registrants","Number","3658"
"Persons on Live Register","1997M03","All ages","Female","All classes","Number","100298"
"Persons on Live Register","1997M03","All ages","Female","Jobseekers allowance applications","Number","50725"
"Persons on Live Register","1997M03","All ages","Female","Jobseekers benefit claims","Number","35837"
"Persons on Live Register","1997M03","All ages","Female","Other registrants","Number","13736"
"Persons on Live Register","1997M04","Under 25 years","Both sexes","All classes","Number","59149"
"Persons on Live Register","1997M04","Under 25 years","Both sexes","Jobseekers allowance applications","Number","46581"
"Persons on Live Register","1997M04","Under 25 years","Both sexes","Jobseekers benefit claims","Number","11967"
"Persons on Live Register","1997M04","Under 25 years","Both sexes","Other registrants","Number","601"
"Persons on Live Register","1997M04","Under 25 years","Male","All classes","Number","34118"
"Persons on Live Register","1997M04","Under 25 years","Male","Jobseekers allowance applications","Number","27301"
"Persons on Live Register","1997M04","Under 25 years","Male","Jobseekers benefit claims","Number","6660"
"Persons on Live Register","1997M04","Under 25 years","Male","Other registrants","Number","157"
"Persons on Live Register","1997M04","Under 25 years","Female","All classes","Number","19724"
"Persons on Live Register","1997M04","Under 25 years","Female","Jobseekers allowance applications","Number","19280"
"Persons on Live Register","1997M04","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M04","Under 25 years","Female","Other registrants","Number","444"
"Persons on Live Register","1997M04","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1997M04","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M04","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M04","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1997M04","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1997M04","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M04","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M04","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1997M04","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1997M04","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M04","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M04","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1997M04","All ages","Both sexes","All classes","Number","255463"
"Persons on Live Register","1997M04","All ages","Both sexes","Jobseekers allowance applications","Number","175370"
"Persons on Live Register","1997M04","All ages","Both sexes","Jobseekers benefit claims","Number","62587"
"Persons on Live Register","1997M04","All ages","Both sexes","Other registrants","Number","17506"
"Persons on Live Register","1997M04","All ages","Male","All classes","Number","158528"
"Persons on Live Register","1997M04","All ages","Male","Jobseekers allowance applications","Number","125750"
"Persons on Live Register","1997M04","All ages","Male","Jobseekers benefit claims","Number","29063"
"Persons on Live Register","1997M04","All ages","Male","Other registrants","Number","3715"
"Persons on Live Register","1997M04","All ages","Female","All classes","Number","96935"
"Persons on Live Register","1997M04","All ages","Female","Jobseekers allowance applications","Number","49620"
"Persons on Live Register","1997M04","All ages","Female","Jobseekers benefit claims","Number","33524"
"Persons on Live Register","1997M04","All ages","Female","Other registrants","Number","13791"
"Persons on Live Register","1997M05","Under 25 years","Both sexes","All classes","Number","56220"
"Persons on Live Register","1997M05","Under 25 years","Both sexes","Jobseekers allowance applications","Number","44770"
"Persons on Live Register","1997M05","Under 25 years","Both sexes","Jobseekers benefit claims","Number","10936"
"Persons on Live Register","1997M05","Under 25 years","Both sexes","Other registrants","Number","514"
"Persons on Live Register","1997M05","Under 25 years","Male","All classes","Number","32239"
"Persons on Live Register","1997M05","Under 25 years","Male","Jobseekers allowance applications","Number","26127"
"Persons on Live Register","1997M05","Under 25 years","Male","Jobseekers benefit claims","Number","6018"
"Persons on Live Register","1997M05","Under 25 years","Male","Other registrants","Number","94"
"Persons on Live Register","1997M05","Under 25 years","Female","All classes","Number","19063"
"Persons on Live Register","1997M05","Under 25 years","Female","Jobseekers allowance applications","Number","18643"
"Persons on Live Register","1997M05","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M05","Under 25 years","Female","Other registrants","Number","420"
"Persons on Live Register","1997M05","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1997M05","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M05","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M05","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1997M05","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1997M05","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M05","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M05","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1997M05","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1997M05","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M05","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M05","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1997M05","All ages","Both sexes","All classes","Number","248114"
"Persons on Live Register","1997M05","All ages","Both sexes","Jobseekers allowance applications","Number","170146"
"Persons on Live Register","1997M05","All ages","Both sexes","Jobseekers benefit claims","Number","60486"
"Persons on Live Register","1997M05","All ages","Both sexes","Other registrants","Number","17482"
"Persons on Live Register","1997M05","All ages","Male","All classes","Number","153436"
"Persons on Live Register","1997M05","All ages","Male","Jobseekers allowance applications","Number","122044"
"Persons on Live Register","1997M05","All ages","Male","Jobseekers benefit claims","Number","27700"
"Persons on Live Register","1997M05","All ages","Male","Other registrants","Number","3692"
"Persons on Live Register","1997M05","All ages","Female","All classes","Number","94678"
"Persons on Live Register","1997M05","All ages","Female","Jobseekers allowance applications","Number","48102"
"Persons on Live Register","1997M05","All ages","Female","Jobseekers benefit claims","Number","32786"
"Persons on Live Register","1997M05","All ages","Female","Other registrants","Number","13790"
"Persons on Live Register","1997M06","Under 25 years","Both sexes","All classes","Number","60129"
"Persons on Live Register","1997M06","Under 25 years","Both sexes","Jobseekers allowance applications","Number","48219"
"Persons on Live Register","1997M06","Under 25 years","Both sexes","Jobseekers benefit claims","Number","11418"
"Persons on Live Register","1997M06","Under 25 years","Both sexes","Other registrants","Number","492"
"Persons on Live Register","1997M06","Under 25 years","Male","All classes","Number","33850"
"Persons on Live Register","1997M06","Under 25 years","Male","Jobseekers allowance applications","Number","27498"
"Persons on Live Register","1997M06","Under 25 years","Male","Jobseekers benefit claims","Number","6264"
"Persons on Live Register","1997M06","Under 25 years","Male","Other registrants","Number","88"
"Persons on Live Register","1997M06","Under 25 years","Female","All classes","Number","21125"
"Persons on Live Register","1997M06","Under 25 years","Female","Jobseekers allowance applications","Number","20721"
"Persons on Live Register","1997M06","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M06","Under 25 years","Female","Other registrants","Number","404"
"Persons on Live Register","1997M06","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1997M06","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M06","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M06","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1997M06","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1997M06","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M06","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M06","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1997M06","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1997M06","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M06","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M06","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1997M06","All ages","Both sexes","All classes","Number","254720"
"Persons on Live Register","1997M06","All ages","Both sexes","Jobseekers allowance applications","Number","173505"
"Persons on Live Register","1997M06","All ages","Both sexes","Jobseekers benefit claims","Number","63478"
"Persons on Live Register","1997M06","All ages","Both sexes","Other registrants","Number","17737"
"Persons on Live Register","1997M06","All ages","Male","All classes","Number","155115"
"Persons on Live Register","1997M06","All ages","Male","Jobseekers allowance applications","Number","122887"
"Persons on Live Register","1997M06","All ages","Male","Jobseekers benefit claims","Number","28575"
"Persons on Live Register","1997M06","All ages","Male","Other registrants","Number","3653"
"Persons on Live Register","1997M06","All ages","Female","All classes","Number","99748"
"Persons on Live Register","1997M06","All ages","Female","Jobseekers allowance applications","Number","50618"
"Persons on Live Register","1997M06","All ages","Female","Jobseekers benefit claims","Number","35046"
"Persons on Live Register","1997M06","All ages","Female","Other registrants","Number","14084"
"Persons on Live Register","1997M07","Under 25 years","Both sexes","All classes","Number","61549"
"Persons on Live Register","1997M07","Under 25 years","Both sexes","Jobseekers allowance applications","Number","49268"
"Persons on Live Register","1997M07","Under 25 years","Both sexes","Jobseekers benefit claims","Number","11775"
"Persons on Live Register","1997M07","Under 25 years","Both sexes","Other registrants","Number","506"
"Persons on Live Register","1997M07","Under 25 years","Male","All classes","Number","34486"
"Persons on Live Register","1997M07","Under 25 years","Male","Jobseekers allowance applications","Number","27934"
"Persons on Live Register","1997M07","Under 25 years","Male","Jobseekers benefit claims","Number","6455"
"Persons on Live Register","1997M07","Under 25 years","Male","Other registrants","Number","97"
"Persons on Live Register","1997M07","Under 25 years","Female","All classes","Number","21743"
"Persons on Live Register","1997M07","Under 25 years","Female","Jobseekers allowance applications","Number","21334"
"Persons on Live Register","1997M07","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M07","Under 25 years","Female","Other registrants","Number","409"
"Persons on Live Register","1997M07","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1997M07","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M07","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M07","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1997M07","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1997M07","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M07","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M07","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1997M07","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1997M07","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M07","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M07","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1997M07","All ages","Both sexes","All classes","Number","259041"
"Persons on Live Register","1997M07","All ages","Both sexes","Jobseekers allowance applications","Number","174046"
"Persons on Live Register","1997M07","All ages","Both sexes","Jobseekers benefit claims","Number","67064"
"Persons on Live Register","1997M07","All ages","Both sexes","Other registrants","Number","17931"
"Persons on Live Register","1997M07","All ages","Male","All classes","Number","155743"
"Persons on Live Register","1997M07","All ages","Male","Jobseekers allowance applications","Number","122492"
"Persons on Live Register","1997M07","All ages","Male","Jobseekers benefit claims","Number","29607"
"Persons on Live Register","1997M07","All ages","Male","Other registrants","Number","3644"
"Persons on Live Register","1997M07","All ages","Female","All classes","Number","103298"
"Persons on Live Register","1997M07","All ages","Female","Jobseekers allowance applications","Number","51554"
"Persons on Live Register","1997M07","All ages","Female","Jobseekers benefit claims","Number","37457"
"Persons on Live Register","1997M07","All ages","Female","Other registrants","Number","14287"
"Persons on Live Register","1997M08","Under 25 years","Both sexes","All classes","Number","60860"
"Persons on Live Register","1997M08","Under 25 years","Both sexes","Jobseekers allowance applications","Number","48653"
"Persons on Live Register","1997M08","Under 25 years","Both sexes","Jobseekers benefit claims","Number","11670"
"Persons on Live Register","1997M08","Under 25 years","Both sexes","Other registrants","Number","537"
"Persons on Live Register","1997M08","Under 25 years","Male","All classes","Number","34140"
"Persons on Live Register","1997M08","Under 25 years","Male","Jobseekers allowance applications","Number","27637"
"Persons on Live Register","1997M08","Under 25 years","Male","Jobseekers benefit claims","Number","6401"
"Persons on Live Register","1997M08","Under 25 years","Male","Other registrants","Number","102"
"Persons on Live Register","1997M08","Under 25 years","Female","All classes","Number","21451"
"Persons on Live Register","1997M08","Under 25 years","Female","Jobseekers allowance applications","Number","21016"
"Persons on Live Register","1997M08","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M08","Under 25 years","Female","Other registrants","Number","435"
"Persons on Live Register","1997M08","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1997M08","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M08","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M08","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1997M08","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1997M08","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M08","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M08","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1997M08","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1997M08","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1997M08","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1997M08","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1997M08","All ages","Both sexes","All classes","Number","258473"
"Persons on Live Register","1997M08","All ages","Both sexes","Jobseekers allowance applications","Number","172905"
"Persons on Live Register","1997M08","All ages","Both sexes","Jobseekers benefit claims","Number","67403"
"Persons on Live Register","1997M08","All ages","Both sexes","Other registrants","Number","18165"
"Persons on Live Register","1997M08","All ages","Male","All classes","Number","155332"
"Persons on Live Register","1997M08","All ages","Male","Jobseekers allowance applications","Number","121585"
"Persons on Live Register","1997M08","All ages","Male","Jobseekers benefit claims","Number","30016"
"Persons on Live Register","1997M08","All ages","Male","Other registrants","Number","3731"
"Persons on Live Register","1997M08","All ages","Female","All classes","Number","103141"
"Persons on Live Register","1997M08","All ages","Female","Jobseekers allowance applications","Number","51320"
"Persons on Live Register","1997M08","All ages","Female","Jobseekers benefit claims","Number","37387"
"Persons on Live Register","1997M08","All ages","Female","Other registrants","Number","14434"
"Persons on Live Register","1997M09","Under 25 years","Both sexes","All classes","Number","57565"
"Persons on Live Register","1997M09","Under 25 years","Both sexes","Jobseekers allowance applications","Number","46153"
"Persons on Live Register","1997M09","Under 25 years","Both sexes","Jobseekers benefit claims","Number","10902"
"Persons on Live Register","1997M09","Under 25 years","Both sexes","Other registrants","Number","510"
"Persons on Live Register","1997M09","Under 25 years","Male","All classes","Number","32452"
"Persons on Live Register","1997M09","Under 25 years","Male","Jobseekers allowance applications","Number","26355"
"Persons on Live Register","1997M09","Under 25 years","Male","Jobseekers benefit claims","Number","6004"
"Persons on Live Register","1997M09","Under 25 years","Male","Other registrants","Number","93"
"Persons on Live Register","1997M09","Under 25 years","Female","All classes","Number","20215"
"Persons on Live Register","1997M09","Under 25 years","Female","Jobseekers allowance applications","Number","19798"
